SMILES,pLC50,LC50_(mg/L),,
NC1=CC=C(OCCCCCC)C=C1,-0.478566496,3.010000003,,
N1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,0.327902142,0.47,,
CC(C)(C)C1=CC=C(C=C)C=C1,0.30980392,0.49,,
O=C1OC2=CC=CC=C2C(O)=C1CC3=C(O)C4=CC=CC=C4OC3=O,-0.7084209,5.109999998,,
ClC(Cl)Cl,-1.849419414,70.70000003,,
CC1=CNC2=C1C=CC=C2,-0.946452265,8.84,,
NC1=CC=C(CCCCCCCCCC)C=C1,1.207608311,0.062,,
CC(C)C(C)N,-2.45331834,284,,
OC(C)CCl,-2.389166084,244.9999998,,
OCCN(CCO)CCO,-4.071882007,11799.99999,,
O[C@H]1[C@H](CC2)C[C@H]2C1,-2.357934847,228,,
CCCCCCCCCC(=O)C,-0.176091259,1.5,,
OC(C1=CC=CC=C1O)=O,-3.235528447,1720,,
CCCCCCCCO,-1.130333768,13.49999998,,
CCCCCCCCN,-0.715167358,5.190000002,,
CCN(CC)C1=CC=CC=C1,-1.214843848,16.4,,
ClC1=C(C=CC(=C1)NC(=O)N(C)C)Cl,-1.152288344,14.19999999,,
ClC1=CC=CC=C1,-1.227886705,16.90000002,,
CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],-1.385606274,24.30000002,,
C1=CC=C2C(=C1)C(=O)C(C)=CC2=O,0.958607315,0.11,,
CCO,-4.167317335,14700.00001,,
O=C(OC(C2=CC=CC(OC3=CC=CC=C3)=C2)C#N)[C@H](C1=CC=C(OC(F)F)C=C1)[C@H](C)C,3.698970004,0.0002,,
CC(C(C(NC(O)=N1)=O)(C1=O)CC)CCC,-1.694605199,49.50000001,,
Cl[C@@H]1CCCC[C@H]1Cl,-1.264817823,18.4,,
C1([N+](=O)[O-])=CC(Cl)=CC=C1C(=O)OC,-1.442479769,27.7,,
OC1=C([N+]([O-])=O)C=CC=C1[N+]([O-])=O,-1.598790507,39.70000002,,
C1=CC(O)=CC=C1OC2=CC=C(O)C=C2,-0.761927838,5.779999994,,
CCCCCO,-2.673941999,472.0000004,,
CCCCCN,-2.247973266,176.9999999,,
CCCCCC,-0.397940009,2.500000002,,
N1=CC=CC=C1,-1.999130541,99.79999993,,
ClCCO,-1.729974286,53.70000004,,
N1=C(N(C)C)C=CC=C1,-2.103803721,127,,
CCCCCCCCCCCN,0.677780705,0.21,,
NC1=C(Cl)C(Cl)=CC(Cl)=C1Cl,0.568636236,0.27,,
C1CCCCC1,-0.656098202,4.53,,
NC1=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C1,-1.170261715,14.79999999,,
Cl\C(Cl)=C(Cl)/C(Cl)=C(Cl)\Cl,1.045757491,0.09,,
N1=C(Br)C(O)=CC=C1,-2.671172843,469.0000003,,
CN1CCNCC1,-3.361727836,2300,,
CC(C)(C)CN,-2.67669361,475.0000004,,
C1=CC=CC(=C1C(F)(F)F)C#N,-1.625312451,42.2,,
C1=CC=CC=C1N(CCO)CCO,-2.866287339,734.9999999,,
C=C(C)C(=O)OC(C)C,-1.579783597,38.00000003,,
C#CC(O)CCCCC,0.384049948,0.413,,
N#CCCCCC#N,-3.285557309,1930,,
C1=CC=CC=C1CC2=NCCN2,-2.549003262,354,,
C=C(C)C(=O)OCC=C,0.004364805,0.990000001,,
CCCCCCN,-1.752816431,56.59999998,,
ClCCl,-2.51851394,330.0000001,,
OC1=CC=C([N+](=O)[O-])C=C1,-1.651278014,44.8,,
CC1=C(C)OC(C)=N1,-2.652246341,449,,
C(CC(CC1CC23)C2)(C1)C3,0.552841969,0.28,,
C=CC(=O)OCCCCCC,-0.045322979,1.110000001,,
OC1=C(C=CC=C1)C2=CC=CC=C2,-0.788875116,6.150000003,,
N1=CC=CC2=C1C=CC=C2,-1.890979597,77.8,,
C1(=NC=CC=C1C2CCCN2C),-1.139879086,13.79999999,,
C1=C2C(=CC=C1)C=CC=C2,-0.788168371,6.139999998,,
C(O)C#CC,-1.004321374,10.10000001,,
N1=CC(C=O)=CC=C1,-1.214843848,16.4,,
O=C(C(C(C1C2)(C)C)(C2)C)C1Br,-1.835690571,68.49999992,,
CCSCCCCSCC,-0.782472624,6.059999998,,
OC1=C([N+](=O)[O-])C=CC([N+]([O-])=O)=C1,-0.526339277,3.359999997,,
BrCCCCCCC,-0.167317335,1.470000001,,
C1=CC=C(NC)C=C1,-2,100,,
O=[C@](O)[C@@]3(C)[C@@]1([H])[C@@](CCC3)(C)[C@]2([H])C(C[C@](C=C)(C)CC2)=CC1,0.060480747,0.870000001,,
N1=C(C)C=CC(CC)=C1,-1.909020854,81.09999996,,
CCCCOC(=O)C1=CC=C(C(=O)OCCCC)C=C1,0.229147988,0.59,,
ClC(=CCl)Cl,-1.644438589,44.09999995,,
C(Cl)(Cl)(Cl)C(C)(O)C,-2.130333768,134.9999998,,
O=C1C3CC2CC1CC(C3)C2,-1.783903579,60.79999996,,
C(Cl)(Cl)C(=O)N,-2.382017043,241.0000002,,
CC(=O)CCCCCCCC,-0.683947131,4.830000003,,
ClC1=C([N+]([O-])=O)C(Cl)=C([N+]([O-])=O)C(Cl)=C1,0.653647026,0.222,,
CCCCC(=O)C,-2.631443769,428,,
CC(C)OC(C)C,-2.895422546,785.9999999,,
COC1=CC=C(OC)C=C1,-2.068185862,117.0000001,,
CCCCCCCCCO,-0.755874856,5.700000004,,
CCCCCCCCCN,-0.334453751,2.159999999,,
CCOC(=O)CC(=O)OCC,-1.167317335,14.70000001,,
O=C2N5[C@@]3([H])[C@@]1([H])[C@](C[C@]4([H])N(C7)CC[C@]34C6=C5C=CC=C6)([H])C7=CCO[C@]([H])1C2,-0.045322979,1.110000001,,
C#CC(CCC(C)C)(C)O,-1.69019608,49,,
OC1=C(C)C=CC=C1,-1.146128036,14.00000001,,
CC1(C)NC(=O)NC1=O,-4.216429831,16460,,
O(CC)CC,-3.408239965,2559.999998,,
OC1=CC(C)=C(Cl)C=C1,-0.737987326,5.469999996,,
C1=CC=CC=C1NC(=O)C2=C(O)C=CC=C2,-0.596597096,3.950000003,,
C=C(CCl)C(Cl),0.721246399,0.19,,
CC\C=C/CCO,-2.580924976,381.0000003,,
OC(C)C,-3.938519725,8679.999996,,
NC1=C(Cl)C=C(C)C=C1,-1.555094449,35.90000003,,
CCCCOC(=O)C=CC(=O)OCCCC,0.200659451,0.629999999,,
NC1=CC=C(CCCC)C=C1,-1.008600172,10.20000001,,
C1=C(Cl)C(Cl)=CC=C1NC(=O)CC,-0.934498451,8.599999995,,
CC1(C)CCC(C)(C)O1,-2.225309282,168.0000001,,
OC1=C(C=C(C=C1)N)[N+](=O)[O-],-1.558708571,36.20000004,,
O=C(CC1C2)C(C2)(C1(C)C)C,-1.230448921,16.99999999,,
CC(=O)C(C)CN(C)C,-0.929418926,8.500000006,,
C=CC=O,1.769551079,0.017,,
C1C2C=CC1CC2,-1,10,,
N1=C([N+]([O-])=O)C(O)=CC=C1,-2.222716471,166.9999999,,
CCSCCSCC,-1.779596491,60.19999996,,
C(C1=CC=CC=C1)(C2=CC=CC=C2)(O)C#C,-1.045322979,11.10000001,,
CCCSCCCCSCCC,-0.475671188,2.989999998,,
OCCN(CC)C1=CC(C)=CC=C1,-1.723455672,52.9,,
CCNCC1=CC=CC=C1,-1.756636108,57.09999997,,
CC1=C(OC)C=CC=C1OC,-1.305351369,20.19999998,,
CCOC(OCC)CN(C)CC(OCC)OCC,-2.802773725,634.9999996,,
C1=CC(N)=CC=C1C(=O)OCC,-1.552668216,35.69999999,,
CCCCCC(=O)C,-2.117271296,131.0000001,,
CN(C)CC1=CC=CC=C1,-1.5774918,37.80000001,,
C=CC(O)CC=C,-1.580924976,38.10000003,,
NC1=C(C(C)C)C=CC=C1C(C)C,-1.184691431,15.30000001,,
O=[N+](C1=CC=C(C=C1)N)[O-],-2.096910013,125,,
N1CC(C)NCC1,-3.350248018,2239.999998,,
C1=CC([N+]([O-])=O)=CC=C1C(=O)N,-2.123851641,133,,
O[C@H]1[C@@]([C@@](C)2C)(C)CC[C@H]2C1,-1.800717078,63.19999996,,
C1(C=O)=CC(C(F)(F)F)=CC=C1,0.034328029,0.924,,
C1(OC)=C(OC)C(OC)=CC=C1C(=O)C,-2.298853076,198.9999998,,
COC(=O)C1=CC=C(C(=O)OC)C=C1N,-0.951337519,8.940000004,,
C1(C=O)=C(O)C=C(O)C=C1,-1.117271296,13.10000001,,
C1=CC=CC=C1OC(=O)C2=C(O)C=C(N)C=C2,-0.677606953,4.760000003,,
CC1=COC=N1,-3.1430148,1389.999999,,
OC1=CC=C(Cl)C=C1CC2=CC(Cl)=CC=C2O,0.508638306,0.31,,
CC(=O)C(C)C,-2.936513742,863.999999,,
CCN(CC)C1CCCCC1,-1.330413773,21.39999998,,
C=CCO,0.494850022,0.32,,
C1=CC=C(CS(=O)CC2=CC=CC=C2)C=C1,-1.903632516,80.09999998,,
CN(C)C1=CC=C(C)C=C1,-1.689308859,48.89999999,,
CC(C)(C)CC(C)(C)N,-1.390935107,24.59999999,,
CCCCOCCCC,-1.509202522,32.29999998,,
CS(=O)C,-4.531478917,34000,,
C=C(C)C(C)=C,-0.839478047,6.909999994,,
OC1=C(OC)C=C(Cl)C(Cl)=C1,-0.650307523,4.469999999,,
NC1=CC=C(Br)C=C1,-1.67669361,47.50000004,,
O=[C@](O)[C@@]3(C)[C@@]2([H])[C@@](CCC3)(C)C1=C(CC2)C=[C@@]([C@@H](C)C)C=C1,-0.322219295,2.100000001,,
CC1=C(F)C=CC=C1,-1.28780173,19.4,,
OC1=CC(OC)=CC=C1,-1.86923172,74.00000005,,
C1=C(C(=O)C)C=C([N+]([O-])=O)C(Cl)=C1,-0.740362689,5.499999994,,
N1=C(C2=CC=CC=C2)C=CC=C1C3=CC=CC=C3,0.677780705,0.21,,
C1=CC(F)=CC=C1OC2=CC=C(F)C=C2,-0.053078443,1.129999999,,
C(C1=CC=C(O)C=C1)(C)(C)C,-0.711807229,5.15,,
C(O)C#C,-0.170261715,1.479999999,,
[H][C@]1(CC2)C(C)(C)CCC[C@@](C)1[C@@H](CC[C@@](O)(C)C=C)C2=C,0.920818754,0.12,,
CCC(C)C(C)C=O,-1.204119983,16.00000001,,
C1=CC([N+](=O)[O-])=CC=C1C(=O)OC,-1.376576957,23.8,,
CC(C)=CC1C(C)(C)C1C(=O)OCC2=COC(CC3=CC=CC=C3)=C2,2.207608311,0.0062,,
C1=CC=CC=C1CCCCC,-0.23299611,1.709999998,,
CN(C)C1=CC=C(C=O)C=C1,-1.6599162,45.69999999,,
C1=C(N)C=CC=C1OCC2=CC=CC=C2,-0.960946196,9.140000006,,
CC(C)SSC(C)C,-0.919601024,8.310000004,,
NC13CC(CC(C3)C2)CC2C1,-1.397940009,25.00000002,,
